Type, K, L, Runtime
0,0,0,0.056475
0,0,10,0.056334
0,0,20,0.055891
0,0,30,0.056122
0,0,40,0.056729
0,0,50,0.056339
0,0,60,0.056195
0,0,70,0.056139
0,0,80,0.056338
0,0,90,0.056478
0,0,100,0.056203
0,10,0,0.056184
0,10,10,0.082769
0,10,20,0.083927
0,10,30,0.084436
0,10,40,0.084414
0,10,50,0.085343
0,10,60,0.085391
0,10,70,0.085305
0,10,80,0.085285
0,10,90,0.085282
0,10,100,0.084865
0,20,0,0.056122
0,20,10,0.099055
0,20,20,0.100291
0,20,30,0.101041
0,20,40,0.101514
0,20,50,0.101237
0,20,60,0.101684
0,20,70,0.102425
0,20,80,0.103201
0,20,90,0.101849
0,20,100,0.100362
0,30,0,0.05637
0,30,10,0.113044
0,30,20,0.114761
0,30,30,0.115002
0,30,40,0.116325
0,30,50,0.116719
0,30,60,0.116668
0,30,70,0.117065
0,30,80,0.117136
0,30,90,0.117138
0,30,100,0.112852
0,40,0,0.056307
0,40,10,0.123927
0,40,20,0.127037
0,40,30,0.127941
0,40,40,0.128562
0,40,50,0.128735
0,40,60,0.129319
0,40,70,0.129936
0,40,80,0.129884
0,40,90,0.12992
0,40,100,0.123282
0,50,0,0.05651
0,50,10,0.134645
0,50,20,0.137144
0,50,30,0.139027
0,50,40,0.139423
0,50,50,0.140233
0,50,60,0.140571
0,50,70,0.141359
0,50,80,0.141577
0,50,90,0.141742
0,50,100,0.132077
0,60,0,0.056512
0,60,10,0.143638
0,60,20,0.146656
0,60,30,0.148012
0,60,40,0.14937
0,60,50,0.15041
0,60,60,0.150999
0,60,70,0.150912
0,60,80,0.151777
0,60,90,0.151978
0,60,100,0.140486
0,70,0,0.056301
0,70,10,0.151838
0,70,20,0.154907
0,70,30,0.157034
0,70,40,0.15796
0,70,50,0.158829
0,70,60,0.159703
0,70,70,0.160038
0,70,80,0.160611
0,70,90,0.161057
0,70,100,0.146334
0,80,0,0.056123
0,80,10,0.158852
0,80,20,0.163937
0,80,30,0.164646
0,80,40,0.166067
0,80,50,0.166928
0,80,60,0.167533
0,80,70,0.168034
0,80,80,0.169164
0,80,90,0.169238
0,80,100,0.152003
0,90,0,0.056318
0,90,10,0.165277
0,90,20,0.169061
0,90,30,0.170842
0,90,40,0.172677
0,90,50,0.173843
0,90,60,0.174892
0,90,70,0.175698
0,90,80,0.175798
0,90,90,0.176425
0,90,100,0.156133
0,100,0,0.056348
0,100,10,0.168315
0,100,20,0.172629
0,100,30,0.175465
0,100,40,0.177146
0,100,50,0.178301
0,100,60,0.178702
0,100,70,0.179077
0,100,80,0.181585
0,100,90,0.184011
0,100,100,0.160802
1,0,0,0.123271
1,0,10,0.125481
1,0,20,0.123323
1,0,30,0.125232
1,0,40,0.123322
1,0,50,0.125209
1,0,60,0.123221
1,0,70,0.126324
1,0,80,0.123154
1,0,90,0.125306
1,0,100,0.123137
1,10,0,0.125346
1,10,10,0.139218
1,10,20,0.139842
1,10,30,0.140085
1,10,40,0.138754
1,10,50,0.141009
1,10,60,0.14018
1,10,70,0.140952
1,10,80,0.140675
1,10,90,0.140942
1,10,100,0.140775
1,20,0,0.122915
1,20,10,0.148794
1,20,20,0.148349
1,20,30,0.147233
1,20,40,0.150779
1,20,50,0.147807
1,20,60,0.149964
1,20,70,0.149714
1,20,80,0.149766
1,20,90,0.148438
1,20,100,0.149254
1,30,0,0.123223
1,30,10,0.154741
1,30,20,0.154727
1,30,30,0.156846
1,30,40,0.155675
1,30,50,0.157487
1,30,60,0.1612
1,30,70,0.15645
1,30,80,0.158775
1,30,90,0.157013
1,30,100,0.156107
1,40,0,0.123977
1,40,10,0.16227
1,40,20,0.162091
1,40,30,0.165191
1,40,40,0.163759
1,40,50,0.166471
1,40,60,0.164916
1,40,70,0.167324
1,40,80,0.164922
1,40,90,0.167318
1,40,100,0.1607
1,50,0,0.125179
1,50,10,0.167149
1,50,20,0.171505
1,50,30,0.172917
1,50,40,0.171688
1,50,50,0.174366
1,50,60,0.173478
1,50,70,0.175385
1,50,80,0.173669
1,50,90,0.175285
1,50,100,0.166724
1,60,0,0.125318
1,60,10,0.174673
1,60,20,0.179494
1,60,30,0.184592
1,60,40,0.18155
1,60,50,0.179987
1,60,60,0.183303
1,60,70,0.182567
1,60,80,0.181592
1,60,90,0.183592
1,60,100,0.172269
1,70,0,0.126108
1,70,10,0.180741
1,70,20,0.183601
1,70,30,0.187211
1,70,40,0.186537
1,70,50,0.189179
1,70,60,0.189479
1,70,70,0.188182
1,70,80,0.190884
1,70,90,0.188724
1,70,100,0.17882
1,80,0,0.123185
1,80,10,0.188458
1,80,20,0.191733
1,80,30,0.191567
1,80,40,0.195162
1,80,50,0.193835
1,80,60,0.196579
1,80,70,0.195235
1,80,80,0.202465
1,80,90,0.196412
1,80,100,0.183745
1,90,0,0.124193
1,90,10,0.191997
1,90,20,0.19715
1,90,30,0.203044
1,90,40,0.206697
1,90,50,0.201061
1,90,60,0.200431
1,90,70,0.205293
1,90,80,0.204559
1,90,90,0.202436
1,90,100,0.187361
1,100,0,0.125008
1,100,10,0.195892
1,100,20,0.198661
1,100,30,0.203293
1,100,40,0.207294
1,100,50,0.208286
1,100,60,0.205558
1,100,70,0.206552
1,100,80,0.210861
1,100,90,0.205415
1,100,100,0.190966
